Building;Height
Burj Khalifa;829.8
Shanghai Tower;632
Abraj Al-Bait Towers;601
Ping An Finance Center;599
Goldin Finance 117;596.6
Lotte World Tower;555.7
One World Trade Center;546.2
Guangzhou CTF Finance Centre;530
Tianjin CTF Finance Centre;530
China Zun;528
Willis Tower;527
Taipei 101;508
Shanghai World Financial Center;494.3
International Commerce Centre;484
Wuhan Greenland Center;475.6
Central Park Tower;472.4
Landmark 81;469.5
Lakhta Center;462
John Hancock Center;456.9
The Exchange 106;453.5
Changsha IFS Tower T1;452
Petronas Tower 1;451.9
Petronas Tower 2;451.9
Zifeng Tower;450
Suzhou IFS;450
Empire State Building;443.2
Kingkey 100;442
Guangzhou International Finance Center;438.6
Wuhan Center;438
111 West 57th Street;435.3
Dongguan International Trade Center 1;426.9
One Vanderbilt;427
432 Park Avenue;425.5
Marina 101;425
Trump International Hotel and Tower;423.2
Jin Mao Tower;421
Princess Tower;414
Al Hamra Tower;412.6
Two International Finance Centre;412
Haeundae LCT The Sharp Landmark Tower;411.6
Guangxi China Resources Tower;402.7
Guiyang Financial Center Tower 1;401
