Name;Height
Martin Luther King; Jr.;1.7018
Bruce Lee;1.7018
Winston Churchill;1.7018
Napoleon Boneparte;1.6764
Urijah Faber;1.6764
Mahatma Gandhi;1.6256
Josh Hutcherson;1.7018
James Madison;1.6256
Rivers Cuomo;1.6764
Prince;1.5748
Andrew Carnegie;1.5748
Robin Williams;1.7018
Bob Marley;1.7272
Robert Downey; Jr.;1.7272
Martin Short;1.7018
Paul Simon;1.6002
Yuri Gagarin;1.5748
Charlie Chaplin;1.651
Frodo Baggins;1.0668
Bono;1.7018
Ulysses S. Grant;1.7272
Tom Cruise;1.7018
Pablo Picasso;1.6256
Thom Yorke;1.6764
Peter Dinklage;1.3462
Al Pacino;1.7018
Michael J. Fox;1.6256
Roger Daltrey;1.7018
Voltaire;1.6002
Tyrone Muggsy Bogues;1.6002
Ben Stiller;1.7272
Woody Allen;1.651
Harry Houdini;1.6256
Daniel Radcliffe;1.651
Humphrey Bogart;1.7272
Dustin Hoffman;1.6764
Bruno Mars;1.6764
Jack Black;1.6764
Spud Webb;1.7018
Kevin Hart;1.6256
Ludwig van Beethoven;1.6002
CeeLo Green;1.6764
Aziz Ansari;1.6764
Danny DeVito;1.524
Jason Schwartzman;1.6764
Mark Wahlberg;1.7272
John Stewart;1.6764
Elton John;1.7018
James Logan Howlett;1.6002
Jason Bryant Acuña;1.2446
Apolo Ohno;1.7272
Mario Andretti;1.7018
Yogi Berra;1.7018
Henry Winkler;1.6764
Beck;1.7018
Jason Alexander;1.6256
Martin Scorsese;1.6002
Manny Pacquiao;1.7018
Genghis Khan;1.5494
Flea;1.6764
T.E. Lawrence;1.651
Sean McColl;1.7018
Truman Capote;1.6256
Jonah Hill;1.7018
Lionel Messi;1.7018
Mel Brooks;1.6256
Salvador Dali;1.7018
Bob Dylan;1.6764
William Faulkner;1.6764
Alfred Hitchcock;1.6764
Spike Lee;1.651
John Leguizamo;1.7272
Mike Myers;1.7018
Aristotle;1.651
Steven Spielberg;1.7018
F. Scott Fitzgerald;1.7018
J. R. R. Tolkien;1.651
Ralph Lauren;1.6764
Henri Toulouse-Lautrec;1.4986
Kanye West;1.7272
Bob Costas;1.7018
Daymond John;1.7018
Sean Sherk;1.6764
Danny Padilla;1.5748
Alexander the Great;1.6764
Franco Columbu;1.651
Jet Li;1.6764
Darren Sproles;1.6764
Simon Cowell;1.7272
Seth Green;1.6256
Marc Anthony;1.7018
David Sedaris;1.651
Carlos Slim;1.7272
Jesse Eisenberg;1.7018
Gael Garcia Bernal;1.6764
Sergey Brin;1.7272
Giorgio Armani;1.7272
George Lucas;1.7018
Isaac Newton;1.6764
